ID;Tên sản phẩm;Tên tiếng Anh;Hình ảnh;Mã sản phẩm;Mã vạch;Đơn vị tính;Thuế bán hàng;Giá vốn;Giá bán;Trạng thái;Mô tả;Mô tả (ENG);Danh mục sản phẩm;Loại sản phẩm
2fdda970-7963-468c-9e3f-e28b223897c4;CƠM CHIÊN MUỐI É;;;;;Phần;Không chịu thuế GTGT bán hàng;0.000000;60000.000000;1;;;CƠM;Dịch vụ
22ce1e11-30ac-43fc-bb75-c1e209d764ee;CƠM CHIÊN MUỐI ỚT;;;;;Phần;Không chịu thuế GTGT bán hàng;0.000000;60000.000000;1;;;CƠM;Dịch vụ
68e134f0-bb7d-428f-a0f9-ea5f104d5471;CƠM CHIÊN TRỨNG;;;;;Phần;Không chịu thuế GTGT bán hàng;0.000000;65000.000000;1;;;CƠM;Dịch vụ
7c1f87a8-a784-41d8-a7bc-b880a99e1bbc;ĐẬU HỦ CHIÊN/HẤP;;;;;Phần;Không chịu thuế GTGT bán hàng;0.000000;55000.000000;1;;;KHAI VỊ;Dịch vụ
df392aae-a83f-44bf-b346-43ae638ee329;ĐẬU HỦ TRỨNG;;;;;Phần;Không chịu thuế GTGT bán hàng;0.000000;65000.000000;1;;;KHAI VỊ;Dịch vụ
43f75ea9-b393-4ffa-b7bf-a71144360ce8;ẾCH CHIÊN MẮM;;;;;Phần;Không chịu thuế GTGT bán hàng;0.000000;135000.000000;1;;;ẾCH;Dịch vụ
a6a21979-edf1-4eb1-9628-60817ea2583d;GÀ KHO SẢ GỪNG;;;;;Nửa Con;Không chịu thuế GTGT bán hàng;0.000000;220000.000000;1;;;GÀ;Chế biến
83d8e9f0-1b67-4560-8280-f08685d8b3ca;GÀ NÒI (CON);;;;;Nửa Con;Không chịu thuế GTGT bán hàng;0.000000;650000.000000;1;;;GÀ;Dịch vụ
d28bc291-de2c-4aa4-8740-c4e1cbf9f6cd;GÀ NÒI HẦM SẢ;;;;;Kg;Không chịu thuế GTGT bán hàng;0.000000;320000.000000;1;;;GÀ;Dịch vụ
89d72c23-e950-47b1-8215-ce3933d23e09;GÀ TA 2 MÓN;;;;;Con;Không chịu thuế GTGT bán hàng;0.000000;440000.000000;1;;;GÀ;Chế biến
57d6ca04-4912-47e4-a138-4271d2403534;GÀ TA THỊT;;;;;Kg;;0.000000;220000.000000;1;;;GÀ;Lưu kho
9716d217-c49e-4ef5-816d-d68c33624093;KEN BẠC CHAI;;;;;Chai;Không chịu thuế GTGT bán hàng;0.000000;23000.000000;1;;;BIA RƯỢU;Lưu kho
64883d95-2ecd-413a-88f0-aa94ec5b020a;KEN BẠC LON 250ML;;;;;Lon;Không chịu thuế GTGT bán hàng;0.000000;22000.000000;1;;;BIA RƯỢU;Lưu kho
